"","index","blocks","census_tract"
"1","Entropy",9.82071614793547,6.26390518403639
"2","Sentropy",0.946650011802785,0.972513146091237
"3","H",0.479646201453298,0.377591068762527
"4","D_WB",0.800360078560151,0.758996318098283
"5","D_WA",0.676104515206782,0.558903161456495
"6","D_WL",0.576442295146762,0.478803449098265
"7","D_BL",0.776295654473198,0.711803488714526
"8","D_AL",0.820395691515325,0.694840237705156
"9","D_AB",0.87464377111376,0.801665711443485
