"class","cls","ai","lpi","np","pland"
1,"WL",98.9618267643688,56.2333554219127,22,59.656668458759
2,"WM",96.9673541179427,7.34611970342956,18,16.2726147460022
3,"BL",98.3237566117432,9.4272389692552,6,16.5301759167802
4,"BM",92.8758080044011,0.793938560408097,16,4.5992173141121
5,"AL",NA,NA,NA,NA
6,"AM",NA,NA,NA,NA
7,"HL",NA,NA,NA,NA
8,"HM",96.5883916703589,0.727047673822533,1,0.727047673822533
9,"HD",93.5669155657668,0.782685887898376,10,2.214275890524
