"","GISJOIN_T","X","whites","blacks","asians","native_americans","others","latino","tot","E","H","Estd","Estd_cls","H_cls","biv_cls"
"1","G26016305001",1,3702,64,41,14,4,57,3882,0.250368114070129,0.267849965322564,0.139733105012134,"L","L","LL"
"2","G26016305002",2,2672,288,48,18,0,28,3054,0.478131776108626,0.244838068244331,0.266850425138046,"L","L","LL"
"3","G26016305003",3,2818,850,64,28,10,55,3825,0.740312453672985,0.220332546138273,0.413176247363121,"M","L","ML"
"4","G26016305004",4,991,4580,32,12,2,27,5644,0.545750330848856,0.140710034571604,0.304589059090606,"L","L","LL"
"5","G26016305005",5,747,3381,79,15,11,42,4275,0.644720593399004,0.140600846409619,0.35982541433241,"M","L","ML"
"6","G26016305006",6,2462,4196,57,41,11,73,6840,0.796926045484916,0.213945914429199,0.444772894560594,"M","L","ML"
"7","G26016305007",7,3445,628,45,19,5,60,4202,0.588606926750286,0.130127472179708,0.328507780681006,"L","L","LL"
"8","G26016305008",8,2197,166,22,5,0,62,2452,0.428597452315065,0.168033376170542,0.239204792649829,"L","L","LL"
"9","G26016305009",9,2366,1524,55,14,3,38,4000,0.806608866563151,0.112072647132183,0.450176979899352,"M","L","ML"
"10","G26016305010",10,1333,2221,47,5,3,40,3649,0.790471516310154,0.112703964678608,0.441170553238774,"M","L","ML"
"11","G26016305011",11,763,4257,33,19,14,38,5124,0.543332712349713,0.148936122352654,0.303239760515287,"L","L","LL"
"12","G26016305012",12,821,2057,5,17,5,17,2922,0.685491043816864,0.113017600843156,0.382579835959898,"M","L","ML"
"13","G26016305013",13,858,4503,24,31,3,54,5473,0.553797844948684,0.129251944771186,0.309080462227041,"L","L","LL"
"14","G26016305014",14,2084,2045,42,20,3,55,4249,0.833618866658491,0.114356065804109,0.465251547975711,"M","L","ML"
"15","G26016305015",15,3610,327,70,15,2,36,4060,0.443690226172346,0.27770603565348,0.247628230123713,"L","L","LL"
"16","G26016305016",16,1900,82,13,3,0,25,2023,0.285238237956678,0.326663994828841,0.159194491702376,"L","L","LL"
"17","G26016305017",17,2456,131,14,14,0,57,2672,0.362422028939852,0.172886024257014,0.202271585647595,"L","L","LL"
"18","G26016305018",18,3425,1388,63,6,11,51,4944,0.735442187894945,0.147638202793241,0.410458100278268,"M","L","ML"
"19","G26016305019",19,1244,2335,29,12,7,36,3663,0.768236118806802,0.125538064034141,0.428760741606563,"M","L","ML"
"20","G26016305020",20,567,3494,5,3,12,31,4112,0.478898479979566,0.107386758489786,0.267278330715836,"L","L","LL"
"21","G26016305031",21,1976,854,38,6,0,37,2911,0.74761852818929,0.112197325973255,0.417253845189046,"M","L","ML"
"22","G26016305032",22,3289,754,56,8,3,70,4180,0.641002400777684,0.163903745865579,0.357750251518887,"M","L","ML"
"23","G26016305033",23,2303,2359,189,16,12,43,4922,0.907741698284579,0.139236090746574,0.5066202879763,"M","L","ML"
"24","G26016305034",24,1259,723,395,10,15,43,2445,1.12135995056343,0.178249379869584,0.62584290459843,"M","L","ML"
"25","G26016305035",25,1659,3788,240,12,7,95,5801,0.856309882057699,0.120567098453959,0.477915644797247,"M","L","ML"
"26","G26016305036",26,691,2220,296,14,19,48,3288,0.924496890406917,0.188375120418754,0.515971538749684,"M","L","ML"
"27","G26016305037",27,584,2480,444,7,6,41,3562,0.882482016516756,0.183328286730916,0.492522591158375,"M","L","ML"
"28","G26016305039",28,383,4169,15,9,2,41,4619,0.37503033756856,0.131654665907162,0.209308416676115,"L","L","LL"
"29","G26016305040",29,272,2618,24,7,0,14,2935,0.40159592630754,0.129673852099048,0.22413495405193,"L","L","LL"
"30","G26016305041",30,418,2955,14,3,4,27,3421,0.458131910852978,0.149794632335717,0.255688287809275,"L","L","LL"
"31","G26016305042",31,240,4452,4,2,4,25,4727,0.250756656124664,0.143852738080945,0.139949954461632,"L","L","LL"
"32","G26016305043",32,329,4277,5,6,1,12,4630,0.294405661537452,0.111608832084723,0.164310928220902,"L","L","LL"
"33","G26016305044",33,246,4253,9,9,1,29,4547,0.279063975638355,0.112336307949588,0.155748570291404,"L","L","LL"
"34","G26016305045",34,279,872,1,7,0,6,1165,0.623044269316928,0.526687952691094,0.347727627517635,"M","M","MM"
"35","G26016305046",35,57,2002,0,3,2,20,2084,0.197678557079181,0.293397344036499,0.110326503347208,"L","L","LL"
"36","G26016305047",36,102,4577,3,9,3,17,4711,0.152647676152025,0.244603766829244,0.0851942901787983,"L","L","LL"
"37","G26016305048",37,249,2623,7,8,3,13,2903,0.364408368330399,0.183506810895991,0.203380182769397,"L","L","LL"
"38","G26016305049",38,806,3154,8,10,5,30,4013,0.583979140886591,0.0898724954382517,0.325924964213074,"L","L","LL"
"39","G26016305050",39,603,1453,13,3,7,11,2090,0.699059136178336,0.159262777209323,0.390152332488865,"M","L","ML"
"40","G26016305051",40,1213,2692,19,8,4,42,3978,0.719413446986198,0.173203695375492,0.40151228964686,"M","L","ML"
