"","GISJOIN_T","X","whites","blacks","asians","native_americans","others","latino","tot","E","H","Estd","Estd_cls","H_cls","biv_cls"
"41","G26016305052",41,564,4204,17,28,0,11,4824,0.434485968860116,0.102789251899972,0.242491236308245,"L","L","LL"
"42","G26016305053",42,283,3170,9,13,6,12,3493,0.358268996175,0.116921317374587,0.199953733929115,"L","L","LL"
"43","G26016305061",43,926,1149,45,12,2,17,2151,0.852369265214834,0.105946031865164,0.475716344662078,"M","L","ML"
"44","G26016305062",44,586,2014,16,10,8,34,2668,0.669837444167745,0.108561398262256,0.373843395651946,"M","L","ML"
"45","G26016305063",45,731,2789,58,15,4,33,3630,0.664224214649736,0.18224529366368,0.370710592608674,"M","L","ML"
"46","G26016305064",46,594,1832,2,2,1,9,2440,0.594642850873927,0.196508822454951,0.331876494075467,"M","L","ML"
"47","G26016305065",47,337,2978,2,4,2,32,3355,0.397899227162697,0.239373225326472,0.22207178697603,"L","L","LL"
"48","G26016305066",48,609,3742,1,13,1,20,4386,0.455280211529962,0.143331721813584,0.254096724113371,"L","L","LL"
"49","G26016305067",49,522,1051,9,4,2,6,1594,0.713845480753293,0.210971950418335,0.398404748523997,"M","L","ML"
"50","G26016305068",50,963,3629,22,4,5,42,4665,0.60211788578171,0.0859331891331873,0.336048390491342,"M","L","ML"
"51","G26016305069",51,748,4356,14,7,3,27,5155,0.479256606739082,0.0879162536363315,0.267478205065974,"L","L","LL"
"52","G26016305070",52,44,3241,5,4,8,19,3321,0.143027316161929,0.311037273977592,0.0798250650370775,"L","L","LL"
"53","G26016305071",53,69,3439,7,0,5,22,3542,0.158505038762537,0.236714182924797,0.0884633464952895,"L","L","LL"
"54","G26016305072",54,64,2343,0,4,6,14,2431,0.18635529120907,0.313372730316784,0.104006868337834,"L","L","LL"
"55","G26016305073",55,176,4453,8,18,8,35,4698,0.253343137933759,0.205458917999942,0.14139349744467,"L","L","LL"
"56","G26016305074",56,228,4010,7,8,0,19,4272,0.262168000071663,0.177132208537504,0.146318746781683,"L","L","LL"
"57","G26016305075",57,394,3078,16,4,3,35,3530,0.448110778255553,0.112496770160474,0.250095387216574,"L","L","LL"
"58","G26016305076",58,965,2206,19,17,12,54,3273,0.77149775866078,0.21222265444742,0.430581097469051,"M","L","ML"
"59","G26016305077",59,126,1896,40,5,0,28,2095,0.407051646244211,0.191470454135347,0.227179849324073,"L","L","LL"
"60","G26016305078",60,473,1864,7,11,5,34,2394,0.630341397255072,0.156425426564417,0.351800232163217,"M","L","ML"
"61","G26016305079",61,2865,2562,96,20,17,114,5674,0.888894782555374,0.140234511383972,0.496101624030114,"M","L","ML"
"62","G26016305080",62,1935,1554,115,23,7,110,3744,0.959753604252721,0.15166112898028,0.535648685404304,"M","L","ML"
"63","G26016305102",63,962,2069,14,10,1,51,3107,0.746616757281868,0.126536178634214,0.416694746200244,"M","L","ML"
"64","G26016305103",64,537,1485,22,5,9,15,2073,0.710927510126797,0.118762457005653,0.396776198109385,"M","L","ML"
"65","G26016305104",65,146,2944,4,1,4,9,3108,0.231649765693081,0.272850551533642,0.129286195871415,"L","L","LL"
"66","G26016305105",66,1853,2351,327,18,4,56,4609,0.978794224381247,0.492383431914811,0.54627545783416,"M","M","MM"
"67","G26016305106",67,2662,1553,47,6,1,54,4323,0.781323475188454,0.579788115195562,0.436064934276626,"M","M","MM"
"68","G26016305107",68,815,1095,183,13,1,25,2132,1.00739619157354,0.255675635738049,0.56223851966445,"M","L","ML"
"69","G26016305108",69,295,2183,4,10,0,9,2501,0.423445601793564,0.348459594438532,0.236329490127376,"L","M","LM"
"70","G26016305109",70,149,2750,5,4,0,14,2922,0.254371062015014,0.359627031502033,0.141967192797706,"L","M","LM"
"71","G26016305111",71,2,243,0,0,0,2,247,0.0940582983527017,0.421163163229115,0.0524949358259705,"L","M","LM"
"72","G26016305112",72,3,848,0,0,0,0,851,0.0234290310204503,0.238003220557503,0.0130759911823121,"L","L","LL"
"73","G26016305113",73,23,1966,1,4,2,9,2005,0.117869291282726,0.207797437325298,0.0657841040089534,"L","L","LL"
"74","G26016305114",74,31,1004,0,2,1,3,1041,0.175093625753446,0.206099689374472,0.0977216131743855,"L","L","LL"
"75","G26016305115",75,32,1370,4,5,5,15,1431,0.230433947787535,0.248941080007987,0.128607634978379,"L","L","LL"
"76","G26016305116",76,73,3989,6,19,12,29,4128,0.190531822485746,0.312940014215565,0.106337834825471,"L","L","LL"
"77","G26016305117",77,13,1079,0,0,0,17,1109,0.142847584275991,0.381820936594477,0.0797247547616055,"L","M","LM"
"78","G26016305121",78,257,5536,3,10,2,10,5818,0.213609980694187,0.165930266846683,0.119218000162832,"L","L","LL"
"79","G26016305122",79,117,1594,2,3,0,18,1734,0.325520565042478,0.193845372066553,0.181676486511173,"L","L","LL"
"80","G26016305123",80,129,2704,13,8,2,9,2865,0.258270219100463,0.221368537060001,0.144143353801687,"L","L","LL"
"81","G26016305124",81,158,3564,2,15,5,7,3751,0.228648913574629,0.214685299819779,0.127611388415398,"L","L","LL"
"82","G26016305126",82,230,4303,3,4,2,16,4558,0.239286111147387,0.214003904099615,0.13354812141748,"L","L","LL"
"83","G26016305129",83,379,3452,3,10,3,30,3877,0.394769654708868,0.196481725476713,0.220325139332986,"L","L","LL"
"84","G26016305132",84,657,3163,20,3,6,37,3886,0.555031642191517,0.257711536964505,0.309769057579275,"L","L","LL"
"85","G26016305133",85,677,1638,22,6,6,17,2366,0.721893940851221,0.385061527547672,0.402896679632024,"M","M","MM"
"86","G26016305134",86,47,2967,1,7,0,16,3038,0.131853145867218,0.231333307807607,0.0735886418527058,"L","L","LL"
"87","G26016305135",87,241,881,10,5,0,21,1158,0.67193166063266,0.34983770402753,0.375012200115314,"M","M","MM"
"88","G26016305136",88,287,3170,2,4,3,10,3476,0.324972951429397,0.343244720776734,0.181370857534469,"L","M","LM"
"89","G26016305139",89,44,4910,2,5,0,5,4966,0.0701326540564879,0.240482220020777,0.0391417794971683,"L","L","LL"
"90","G26016305140",90,2,71,0,0,0,0,73,0.125574980449031,1,0.0700847310175694,"L","H","LH"
"91","G26016305141",91,68,5994,3,3,6,7,6081,0.0865826282930861,0.205223528734678,0.048322684925108,"L","L","LL"
"92","G26016305142",92,71,397,1,5,0,1,475,0.507903931897971,0.199521959614625,0.283466581659418,"L","L","LL"
"93","G26016305143",93,60,5147,3,1,1,15,5227,0.0908235709592216,0.204133006740407,0.0506896000936728,"L","L","LL"
"94","G26016305145",94,9,2070,0,3,1,4,2087,0.0566620733141445,0.295979342746936,0.0316237052390499,"L","L","LL"
"95","G26016305146",95,10,2062,0,1,0,7,2080,0.057113886959351,0.288454272057105,0.0318758672356605,"L","L","LL"
"96","G26016305147",96,14,2234,1,5,3,14,2271,0.10453342314963,0.351286426954673,0.0583412142895865,"L","M","LM"
"97","G26016305148",97,45,1689,1,2,0,19,1756,0.192265360474492,0.311680114030489,0.10730534079852,"L","L","LL"
"98","G26016305149",98,27,2380,1,6,0,16,2430,0.12146699048387,0.158569616108937,0.067792018164247,"L","L","LL"
"99","G26016305150",99,29,2870,3,11,0,10,2923,0.111230188310234,0.2908304338532,0.0620787500892378,"L","L","LL"
"100","G26016305151",100,56,2603,1,1,0,3,2664,0.117388632167777,0.320093655369678,0.0655158430491521,"L","L","LL"
"101","G26016305152",101,356,3607,10,10,5,13,4001,0.365650009689167,0.356260298681839,0.204073156006091,"L","M","LM"
"102","G26016305153",102,592,2891,9,10,4,14,3520,0.523107742397357,0.21368072049554,0.291951989863197,"L","L","LL"
"103","G26016305154",103,712,969,25,4,7,11,1728,0.819542186656922,0.255023189336477,0.457395203280274,"M","L","ML"
"104","G26016305155",104,11,1181,0,1,0,20,1213,0.14221756978416,0.174536976682939,0.0793731369788332,"L","L","LL"
"105","G26016305156",105,119,1601,1,1,13,19,1754,0.359735870515267,0.196037045805839,0.200772412086234,"L","L","LL"
"106","G26016305157",106,1621,1988,37,7,0,58,3711,0.818936587241442,0.0173109385888198,0.457057211811061,"M","L","ML"
"107","G26016305161",107,72,2161,5,1,0,13,2252,0.196405806226851,0.234774391888347,0.109616167571571,"L","L","LL"
"108","G26016305162",108,100,1414,1,3,0,6,1524,0.287118088497446,0.25980218176371,0.160243656265506,"L","L","LL"
"109","G26016305163",109,146,1713,3,12,0,10,1884,0.354980639323126,0.278983374256964,0.198118467026192,"L","L","LL"
"110","G26016305164",110,249,1609,1,1,2,7,1869,0.43380472231112,0.387333246913725,0.242111025369949,"L","M","LM"
"111","G26016305165",111,200,366,58,3,4,5,636,0.995416846643811,0.140156226587865,0.555552719960044,"M","L","ML"
"112","G26016305166",113,26,2375,1,1,0,14,2417,0.102262101755848,0.0284436832948783,0.0570735656834038,"L","L","LL"
"113","G26016305167",114,45,1681,3,11,1,21,1762,0.23814535339821,0.0683508548460562,0.132911452395343,"L","L","LL"
"114","G26016305168",115,33,2409,3,3,0,3,2451,0.0996101067326691,0.333902015045794,0.0555934590794065,"L","M","LM"
"115","G26016305169",116,276,1854,8,6,2,12,2158,0.465927560293265,0.0646196068819967,0.260039122602768,"L","L","LL"
"116","G26016305170",117,821,1198,37,8,9,42,2115,0.882223883452592,0.0374590121023827,0.492378524352201,"M","L","ML"
"117","G26016305171",118,381,1020,15,2,7,27,1452,0.755262181520889,0.0748567996303185,0.421519849339085,"M","L","ML"
"118","G26016305172",119,516,1884,15,4,0,34,2453,0.631571526621615,0.110095614784649,0.352486780434717,"M","L","ML"
"119","G26016305173",120,170,457,2,5,0,12,646,0.725724569327583,0.234242275271435,0.405034594091051,"M","L","ML"
"120","G26016305174",121,147,807,14,4,0,8,980,0.566906344171909,0.528023876795584,0.316396454941661,"L","M","LM"
"121","G26016305175",122,472,2529,177,5,2,25,3210,0.682014416050763,0.22937008564228,0.380639493059075,"M","L","ML"
"122","G26016305176",123,6,1067,0,0,1,8,1082,0.0853123380683696,0.363840339431614,0.0476137224518896,"L","M","LM"
"123","G26016305177",124,27,34,0,0,0,1,62,0.758039978285956,0.589178328043883,0.423070167232069,"M","M","MM"
"124","G26016305178",125,36,1628,1,9,1,6,1681,0.170292648816384,0.299885143304287,0.0950421369279837,"L","L","LL"
"125","G26016305180",126,417,1342,49,6,4,26,1844,0.75587782088803,0.366674054003007,0.42186344421201,"M","M","MM"
"126","G26016305181",127,45,408,1,0,0,0,454,0.338588785714118,0.649970136508328,0.188969999338132,"L","M","LM"
"127","G26016305183",128,209,530,1,2,1,2,745,0.648357022604588,0.237838768055443,0.361854944114748,"M","L","ML"
"128","G26016305184",129,549,1240,30,9,10,23,1861,0.805358315431183,0.189872629776441,0.449479034023555,"M","L","ML"
"129","G26016305185",130,681,2514,23,6,3,19,3246,0.608794327229402,0.11171985193896,0.339774583410846,"M","L","ML"
"130","G26016305186",131,44,2039,0,3,3,6,2095,0.143029838732804,0.220598783281327,0.079826472910689,"L","L","LL"
"131","G26016305187",132,41,1404,4,2,1,7,1459,0.193175884820068,0.381567069722747,0.10781351411152,"L","M","LM"
"132","G26016305188",133,52,1347,1,0,0,23,1423,0.244660600228036,0.388262988580868,0.136547680885673,"L","M","LM"
"133","G26016305201",134,98,47,1,1,3,5,155,0.903897525833675,0.117367815435456,0.504474814481154,"M","L","ML"
"134","G26016305202",135,916,272,656,29,8,66,1947,1.19621297969263,0.08153861711881,0.667619175584987,"H","L","HL"
"135","G26016305203",136,548,1157,166,7,2,12,1892,0.93320472758236,0.259599067823124,0.520831475211577,"M","L","ML"
"136","G26016305204",137,589,882,185,6,1,19,1682,1.02390581994562,0.243399934631984,0.571452718699318,"M","L","ML"
"137","G26016305205",138,80,776,3,8,0,8,875,0.430508014393077,0.563360634126766,0.240271097648254,"L","M","LM"
"138","G26016305206",139,1143,1852,86,32,0,67,3180,0.907871376860449,0.234089158441438,0.506692662967529,"M","L","ML"
"139","G26016305207",140,611,1446,5,14,2,35,2113,0.740415712327305,0.125753900931373,0.41323387711538,"M","L","ML"
"140","G26016305208",141,390,346,9,2,0,11,758,0.829623744499706,0.0598444986492815,0.463021827844523,"M","L","ML"
"141","G26016305209",142,20,20,0,0,0,22,62,1.09758237027021,0.194702287535024,0.612572384363111,"M","L","ML"
"142","G26016305211",143,200,408,0,22,6,379,1015,1.16762892302072,0.344881670714869,0.651666109806452,"M","M","MM"
"143","G26016305212",144,425,219,7,32,4,957,1644,1.04778626866927,0.154029989858959,0.584780650898801,"M","L","ML"
"144","G26016305213",145,153,931,1,13,0,116,1214,0.743376801163653,0.356244365548289,0.414886492261108,"M","M","MM"
"145","G26016305214",146,629,434,11,2,5,384,1465,1.13949655532017,0.32250630697149,0.635965136442728,"M","L","ML"
"146","G26016305215",147,1058,1637,3,29,6,203,2936,0.943539714805416,0.355836374490947,0.526599541406036,"M","M","MM"
"147","G26016305218",148,17,1294,1,8,3,3,1326,0.143511620487031,0.0152658844073415,0.0800953604274019,"L","L","LL"
"148","G26016305219",149,655,2251,22,21,10,41,3000,0.696228380299235,0.276378466389679,0.388572457551566,"M","L","ML"
"149","G26016305220",150,108,1760,5,19,0,29,1921,0.366475771460892,0.478769025308748,0.20453402242589,"L","M","LM"
"150","G26016305221",151,41,2355,0,2,2,12,2412,0.130763374411942,0.30797128504598,0.0729804288230045,"L","L","LL"
"151","G26016305222",152,67,1555,3,1,0,2,1628,0.199499150370806,0.278349104052778,0.111342595809892,"L","L","LL"
"152","G26016305223",153,40,3547,6,17,4,12,3626,0.133417986143022,0.285978050757981,0.0744619958394877,"L","L","LL"
"153","G26016305224",154,172,1849,38,11,4,51,2125,0.525075088591217,0.289687764378507,0.293049986680096,"L","L","LL"
"154","G26016305231",155,967,345,5,29,1,519,1866,1.09328354272882,0.243558520789308,0.610173163030547,"M","L","ML"
"155","G26016305232",156,2071,219,66,32,9,2104,4501,0.969247903900393,0.0998289475800228,0.540947554929331,"M","L","ML"
"156","G26016305233",157,1497,273,62,27,8,2192,4059,0.991643912474552,0.0909986675246896,0.553447005306902,"M","L","ML"
"157","G26016305234",158,1180,568,14,52,14,1252,3080,1.163195120867,0.0964725815123551,0.649191557708436,"M","L","ML"
"158","G26016305235",159,608,537,7,22,0,162,1336,1.07559237781545,0.331294923301723,0.600299535896326,"M","M","MM"
"159","G26016305236",160,461,1006,3,12,10,155,1647,0.958266447663383,0.420936413557121,0.534818687508449,"M","M","MM"
"160","G26016305237",161,1606,597,11,20,4,367,2605,0.982358384734291,0.189952741753123,0.548264653601926,"M","L","ML"
"161","G26016305238",162,3358,349,23,71,21,1658,5480,0.937797357013862,0.112779274969513,0.52339467050111,"M","L","ML"
"162","G26016305240",163,2005,56,22,43,7,940,3073,0.822886502058402,0.0844872143901221,0.459261701244379,"M","L","ML"
"163","G26016305241",164,2804,79,21,96,5,1228,4233,0.826289679973407,0.067592502769138,0.461161051002788,"M","L","ML"
"164","G26016305242",165,3693,83,40,48,27,1592,5483,0.792235254852603,0.0661989596852967,0.442154914461773,"M","L","ML"
"165","G26016305243",166,2460,99,2,34,12,677,3284,0.719851375542043,0.108379028375914,0.401756702227547,"M","L","ML"
"166","G26016305245",167,1164,216,17,9,0,195,1601,0.835829298658262,0.513119135136553,0.466485213564052,"M","M","MM"
"167","G26016305247",169,75,5917,8,13,2,42,6057,0.136282864725263,0.324078071319768,0.0760609150200151,"L","L","LL"
"168","G26016305248",170,37,3906,2,8,3,19,3975,0.108022262005661,0.295183316997886,0.0602883723294625,"L","L","LL"
"169","G26016305251",171,15,2333,1,5,2,15,2371,0.102201352373987,0.280815968985952,0.0570396608078308,"L","L","LL"
"170","G26016305252",172,13,2330,0,0,2,7,2352,0.06136532664789,0.377908484787424,0.0342486409039759,"L","M","LM"
"171","G26016305253",173,28,1281,1,4,0,10,1324,0.173355774722752,0.243398896391174,0.0967517000467922,"L","L","LL"
"172","G26016305254",174,763,2560,15,13,4,281,3636,0.822845201173807,0.414543669800161,0.459238650781801,"M","M","MM"
"173","G26016305255",175,455,1653,14,8,1,342,2473,0.905331753835893,0.332789043036847,0.50527527237009,"M","M","MM"
"174","G26016305256",176,1338,142,61,17,6,400,1964,0.942126599687199,0.144937825938831,0.525810866842019,"M","L","ML"
"175","G26016305257",177,3418,177,37,37,6,871,4546,0.744459080325792,0.111526739930315,0.415490523762393,"M","L","ML"
"176","G26016305258",178,1528,166,10,33,5,397,2139,0.854848762816606,0.134269713318666,0.477100178622134,"M","L","ML"
"177","G26016305260",179,2182,304,9,26,21,623,3165,0.890767980114323,0.158667506913999,0.497147075493394,"M","L","ML"
"178","G26016305261",180,2115,66,3,12,0,315,2511,0.534192769214025,0.0688959852619529,0.298138661125185,"L","L","LL"
"179","G26016305262",181,2332,424,4,10,10,461,3241,0.824263142405633,0.155685022632453,0.460030018851108,"M","L","ML"
"180","G26016305263",182,2665,728,42,27,5,936,4403,1.013952423239,0.202295743324635,0.565897622227075,"M","L","ML"
"181","G26016305264",183,672,1058,0,15,18,462,2225,1.11415151724821,0.220475028945699,0.621819801364422,"M","L","ML"
"182","G26016305265",184,66,3920,4,8,13,27,4038,0.167172496669699,0.221633274132549,0.0933007468584622,"L","L","LL"
"183","G26016305301",185,50,4529,4,9,1,20,4613,0.110789454802328,0.208302762107639,0.0618327720349986,"L","L","LL"
"184","G26016305302",186,122,4675,50,10,3,22,4882,0.222172683449275,0.315453338881495,0.123996935562447,"L","L","LL"
"185","G26016305303",187,51,3199,0,14,4,14,3282,0.144413444032378,0.264491048781536,0.0805986777313338,"L","L","LL"
"186","G26016305304",188,18,2232,1,4,3,11,2269,0.103726141012509,0.191725235272357,0.0578906615502342,"L","L","LL"
"187","G26016305305",189,16,2966,5,5,0,10,3002,0.0801315292047256,0.238296284301649,0.044722257970959,"L","L","LL"
"188","G26016305307",190,49,3924,1,3,0,24,4001,0.11113396832469,0.286545712737687,0.0620250486928194,"L","L","LL"
"189","G26016305308",191,72,4244,0,3,0,11,4330,0.108003086514664,0.164388295800943,0.0602776702841679,"L","L","LL"
"190","G26016305310",192,5,2087,11,2,3,3,2111,0.0782468286506895,0.319411981044198,0.0436703865638844,"L","L","LL"
"191","G26016305311",193,72,2712,12,2,1,11,2810,0.18113202745946,0.555302268677497,0.101091709333897,"L","M","LM"
"192","G26016305312",194,76,3543,4,5,3,26,3657,0.168655003803923,0.176185975369272,0.0941281498440104,"L","L","LL"
"193","G26016305313",195,26,2205,3,2,1,3,2240,0.0946583656708829,0.267346022889138,0.0528298397728936,"L","L","LL"
"194","G26016305314",196,11,2700,1,6,0,7,2725,0.0630795543490608,0.196352800047899,0.0352053696003278,"L","L","LL"
"195","G26016305315",197,35,5051,4,18,0,15,5123,0.0905425590433587,0.217277081292757,0.0505327643572422,"L","L","LL"
"196","G26016305316",198,28,2755,2,2,1,8,2796,0.0906158131845985,0.247855860321776,0.0505736482719071,"L","L","LL"
"197","G26016305317",199,30,3146,0,2,2,6,3186,0.0774794841767099,0.268497436377455,0.043242123458731,"L","L","LL"
"198","G26016305318",200,27,4252,4,6,3,17,4309,0.087463405996283,0.289723629897326,0.0488142563208916,"L","L","LL"
"199","G26016305319",201,75,2540,4,2,0,3,2624,0.15620740173365,0.264967724179491,0.0871810108535096,"L","L","LL"
"200","G26016305322",202,81,2737,1,7,8,3,2837,0.177569128000379,0.247449222883011,0.0991032172844501,"L","L","LL"
"201","G26016305323",203,268,1275,5,12,1,8,1569,0.557664453242627,0.179124514973226,0.311238457404601,"L","L","LL"
"202","G26016305324",204,102,2348,4,5,1,10,2470,0.228190886400379,0.17862056867601,0.1273557585822,"L","L","LL"
"203","G26016305325",205,371,2301,24,10,5,23,2734,0.529964809973885,0.109053360071404,0.295778992144638,"L","L","LL"
"204","G26016305326",206,170,2318,81,17,43,63,2692,0.594592376198142,0.420546795218207,0.33184832362254,"M","M","MM"
"205","G26016305327",207,45,2221,5,5,0,20,2296,0.177209028125603,0.371083765736751,0.098902241717718,"L","M","LM"
"206","G26016305330",208,131,2437,7,0,0,19,2594,0.261412323753981,0.280799170372358,0.145896995798552,"L","L","LL"
"207","G26016305331",209,12,2783,0,5,1,20,2821,0.0857378112652858,0.203917925200666,0.0478511835644012,"L","L","LL"
"208","G26016305332",210,15,3400,3,5,0,5,3428,0.0571140226986103,0.258979424810529,0.0318759429931836,"L","L","LL"
"209","G26016305333",211,43,3840,0,10,0,10,3903,0.0962551956026722,0.302010479795944,0.0537210475266203,"L","L","LL"
"210","G26016305334",212,34,5400,5,5,21,36,5501,0.116527175107656,0.318158232120692,0.065035054709581,"L","L","LL"
"211","G26016305335",213,25,2285,0,5,0,8,2323,0.097742672666022,0.253892183954828,0.054551224282427,"L","L","LL"
"212","G26016305336",214,38,4358,9,3,3,28,4439,0.113226557154054,0.262768842027859,0.0631929447554895,"L","L","LL"
"213","G26016305337",215,21,2250,2,7,0,7,2287,0.100712690814808,0.235635980752599,0.0562088229723146,"L","L","LL"
"214","G26016305341",216,25,3267,7,3,3,9,3314,0.0926925150372556,0.225396227020647,0.0517326776440536,"L","L","LL"
"215","G26016305342",217,80,6411,2,15,7,24,6539,0.117575190716864,0.203659846985249,0.0656199633578715,"L","L","LL"
"216","G26016305343",218,63,2859,3,3,15,12,2955,0.177169213373818,0.207234838241026,0.0988800206816533,"L","L","LL"
"217","G26016305344",219,43,3424,1,3,5,9,3485,0.104775600674436,0.175609180275701,0.058476376139693,"L","L","LL"
"218","G26016305345",220,30,2112,2,7,0,7,2158,0.124179963347926,0.195507361457758,0.0693061571492219,"L","L","LL"
"219","G26016305346",221,41,3346,0,0,2,16,3405,0.0999496933832241,0.210076987175277,0.0557829859977163,"L","L","LL"
"220","G26016305347",222,112,3833,1,3,1,13,3963,0.161430829450409,0.162286932553681,0.0900962613692554,"L","L","LL"
"221","G26016305350",223,218,3993,12,9,7,37,4276,0.296744857739845,0.171902927910666,0.165616458479045,"L","L","LL"
"222","G26016305351",224,136,2953,0,4,6,24,3123,0.24736151788567,0.164791945304903,0.138055091731839,"L","L","LL"
"223","G26016305352",225,97,3842,2,6,3,15,3965,0.161502863944873,0.190926880387774,0.090136464586094,"L","L","LL"
"224","G26016305353",226,229,4951,7,8,4,27,5226,0.23974503698914,0.145902559802327,0.133804252806561,"L","L","LL"
"225","G26016305354",227,96,2140,3,6,4,23,2272,0.272163079300921,0.15256080293201,0.151897106712754,"L","L","LL"
"226","G26016305355",228,310,3195,7,10,0,44,3566,0.393715266721612,0.119355190228789,0.21973667419279,"L","L","LL"
"227","G26016305356",229,339,3798,14,6,2,27,4186,0.356444425937879,0.138001525539826,0.198935421890889,"L","L","LL"
"228","G26016305357",230,37,2080,3,10,0,22,2152,0.183732482738915,0.161686533116765,0.102543051059232,"L","L","LL"
"229","G26016305361",231,163,5201,15,18,7,13,5417,0.202834955706948,0.273830128152388,0.113204344216099,"L","L","LL"
"230","G26016305362",232,32,2317,1,6,2,12,2370,0.131387271693164,0.246496020152898,0.0733286325255305,"L","L","LL"
