GISJOIN,GISJOIN_T,COUNTY_CODE,STATEA,COUNTYA,TRACTA,BLOCKA,whites,blacks,asians,native_americans,others,latino,tot
G26016305001001000,G2601630500100,26163,26,163,500100,1000,8,50,0,0,0,0,58
G26016305001001001,G2601630500100,26163,26,163,500100,1001,17,51,0,1,3,0,72
G26016305001001002,G2601630500100,26163,26,163,500100,1002,6,50,0,0,0,1,57
G26016305001001003,G2601630500100,26163,26,163,500100,1003,4,73,0,0,0,0,77
G26016305001001004,G2601630500100,26163,26,163,500100,1004,1,27,0,0,1,0,29
G26016305001001005,G2601630500100,26163,26,163,500100,1005,1,65,0,0,0,0,66
G26016305001001006,G2601630500100,26163,26,163,500100,1006,11,60,0,0,1,0,72
G26016305001001007,G2601630500100,26163,26,163,500100,1007,4,73,0,0,0,0,77
G26016305001001008,G2601630500100,26163,26,163,500100,1008,5,70,0,0,0,0,75
G26016305001001009,G2601630500100,26163,26,163,500100,1009,11,98,0,0,0,0,109
G26016305001001010,G2601630500100,26163,26,163,500100,1010,10,65,0,0,1,0,76
G26016305001001011,G2601630500100,26163,26,163,500100,1011,5,72,0,0,2,0,79
G26016305001001012,G2601630500100,26163,26,163,500100,1012,2,64,0,0,2,0,68
G26016305001001013,G2601630500100,26163,26,163,500100,1013,2,95,0,0,0,1,98
G26016305001001014,G2601630500100,26163,26,163,500100,1014,2,52,0,0,0,1,55
G26016305001001015,G2601630500100,26163,26,163,500100,1015,3,51,0,0,0,5,59
G26016305001001016,G2601630500100,26163,26,163,500100,1016,0,0,0,0,0,0,0
G26016305001001017,G2601630500100,26163,26,163,500100,1017,10,60,0,0,3,0,73
G26016305001001018,G2601630500100,26163,26,163,500100,1018,7,55,0,0,0,0,62
G26016305001001019,G2601630500100,26163,26,163,500100,1019,16,52,1,0,4,7,80
G26016305001001020,G2601630500100,26163,26,163,500100,1020,5,67,0,0,0,0,72
G26016305001001021,G2601630500100,26163,26,163,500100,1021,3,61,0,0,0,0,64
G26016305001002000,G2601630500100,26163,26,163,500100,2000,11,27,0,0,0,2,40
G26016305001002001,G2601630500100,26163,26,163,500100,2001,12,61,0,0,0,0,73
G26016305001002002,G2601630500100,26163,26,163,500100,2002,8,68,1,0,1,0,78
G26016305001002003,G2601630500100,26163,26,163,500100,2003,5,67,0,0,2,0,74
G26016305001002004,G2601630500100,26163,26,163,500100,2004,6,56,0,0,5,3,70
G26016305001002005,G2601630500100,26163,26,163,500100,2005,0,3,0,0,0,0,3
G26016305001002006,G2601630500100,26163,26,163,500100,2006,11,42,0,0,1,0,54
G26016305001002007,G2601630500100,26163,26,163,500100,2007,2,68,0,0,3,0,73
G26016305001002008,G2601630500100,26163,26,163,500100,2008,6,63,0,0,0,0,69
G26016305001002009,G2601630500100,26163,26,163,500100,2009,3,19,0,0,0,0,22
G26016305001002010,G2601630500100,26163,26,163,500100,2010,17,85,0,0,3,0,105
G26016305001002011,G2601630500100,26163,26,163,500100,2011,8,75,0,0,2,0,85
G26016305001002012,G2601630500100,26163,26,163,500100,2012,7,53,0,0,2,2,64
G26016305001002013,G2601630500100,26163,26,163,500100,2013,5,47,0,0,0,0,52
G26016305001002014,G2601630500100,26163,26,163,500100,2014,2,6,0,0,0,1,9
G26016305001003000,G2601630500100,26163,26,163,500100,3000,7,58,0,0,0,0,65
G26016305001003001,G2601630500100,26163,26,163,500100,3001,7,67,0,0,2,0,76
G26016305001003002,G2601630500100,26163,26,163,500100,3002,3,71,0,0,2,0,76
G26016305001003003,G2601630500100,26163,26,163,500100,3003,5,78,0,2,0,6,91
G26016305001003004,G2601630500100,26163,26,163,500100,3004,5,71,0,0,2,0,78
G26016305001003005,G2601630500100,26163,26,163,500100,3005,4,77,0,0,0,0,81
G26016305001003006,G2601630500100,26163,26,163,500100,3006,7,73,0,0,0,0,80
G26016305001003007,G2601630500100,26163,26,163,500100,3007,11,91,0,0,2,0,104
G26016305001003008,G2601630500100,26163,26,163,500100,3008,6,89,0,1,0,0,96
G26016305001003009,G2601630500100,26163,26,163,500100,3009,4,61,0,0,0,3,68
G26016305001003010,G2601630500100,26163,26,163,500100,3010,3,103,0,0,5,1,112
G26016305001003011,G2601630500100,26163,26,163,500100,3011,1,38,0,0,0,0,39
G26016305001004000,G2601630500100,26163,26,163,500100,4000,10,77,0,0,0,0,87
G26016305001004001,G2601630500100,26163,26,163,500100,4001,7,78,0,1,2,0,88
G26016305001004002,G2601630500100,26163,26,163,500100,4002,5,79,0,0,2,0,86
G26016305001004003,G2601630500100,26163,26,163,500100,4003,5,47,0,0,1,0,53
G26016305001004004,G2601630500100,26163,26,163,500100,4004,10,57,0,0,2,3,72
G26016305001004005,G2601630500100,26163,26,163,500100,4005,9,47,0,0,3,0,59
G26016305001004006,G2601630500100,26163,26,163,500100,4006,4,77,0,0,0,2,83
G26016305001004007,G2601630500100,26163,26,163,500100,4007,6,53,0,1,0,0,60
G26016305001004008,G2601630500100,26163,26,163,500100,4008,7,67,0,0,5,0,79
G26016305001004009,G2601630500100,26163,26,163,500100,4009,4,43,3,0,0,0,50
G26016305002001000,G2601630500200,26163,26,163,500200,1000,0,49,0,0,0,0,49
G26016305002001001,G2601630500200,26163,26,163,500200,1001,0,43,0,0,0,0,43
G26016305002001002,G2601630500200,26163,26,163,500200,1002,7,33,0,0,0,1,41
G26016305002001003,G2601630500200,26163,26,163,500200,1003,4,72,0,0,1,0,77
G26016305002001004,G2601630500200,26163,26,163,500200,1004,16,45,0,0,0,0,61
G26016305002001005,G2601630500200,26163,26,163,500200,1005,9,73,0,0,0,1,83
G26016305002001006,G2601630500200,26163,26,163,500200,1006,6,63,0,1,2,0,72
G26016305002001007,G2601630500200,26163,26,163,500200,1007,10,59,0,0,0,0,69
G26016305002001008,G2601630500200,26163,26,163,500200,1008,2,78,0,0,3,1,84
